6888558334065160192	problem
6902429559304658944	exploration
6950149432348749824	culture
6978009294608756736	product-news
7122639247848706048	product-news
7124831843333373952	product-news
7127386454753759232	exploration
7130344112033034241	exploration
7252728442440298496	problem
7257879906334748673	exploration
7386052587910905857	selection
7392608429418180608	event
7402043569131188224	event
7407101538013229057	event
7415430160558039040	selection
7430267035215077376	product-news
7432795477949079552	event
7435412573321056256	event
7437848043556745216	product-news
7440055878545739776	culture
7454911504811905024	selection
7462923902973980673	event
7468011763549114370	product-news
7470124534109597696	product-news
7493323985565356032	product-news
6774892165781975040	unclear
6788469470080860160	unclear
6790658873150853121	unclear
6885241857090170880	culture
6889558504886149120	unclear
7177241193645240320	culture
7476180676027838464	culture
7482861725986443265	recruitment
7483399298425044992	product-news
7483496319559397376	unclear
7486389799948365824	culture
7490861226407665664	culture
7494286767534071808	unclear
7495376402188296192	product-news
7498625923487932416	recruitment
7498998174498357249	exploration
7499146422034817024	recruitment
7500821007750930432	recruitment
7500889046244691968	culture
7501247648449101824	exploration
7503033158188109824	recruitment
7504085621599211520	recruitment
7414687474209476608	validation
7420095720252268545	problem
7430597162360733697	event
7434583519462469632	selection
7437170287416135680	selection
7445824934603513857	culture
7452745901351264256	event
7460395935362228226	event
